Date,S1B1,S1B2,S1B3,S1B4,S1B5,S2B1,S2B2,S2B3,S2B4,S2B5,S3B1,S3B2,S3B3,S3B4,S3B5,S4B1,S4B2,S4B3,S4B4,S4B5,S5B1,S5B2,S5B3,S5B4,S5B5
200801,-0.0534,-0.0657,-0.0611,-0.048,-0.0495,-0.07,-0.0791,-0.0441,-0.0693,-0.0544,0.0367,-0.0837,-0.0485,-0.0522,-0.0924,-0.0652,-0.0784,-0.06,-0.0643,-0.10400000000000001,-0.0885,-0.0677,-0.1151,-0.0988,-0.1511
200802,0.1078,0.1198,0.1271,0.1394,0.1306,0.0954,0.1201,0.1541,0.1265,0.1303,0.0111,0.0574,0.1211,0.1038,0.1005,0.0484,0.0542,0.0895,0.0667,0.0741,0.0017,0.0454,0.0485,0.0639,0.0243
200803,-0.1359,-0.1876,-0.1656,-0.1984,-0.1666,-0.1267,-0.1874,-0.1977,-0.1682,-0.2001,-0.184,-0.2078,-0.2121,-0.2098,-0.2017,-0.2294,-0.2248,-0.2207,-0.1904,-0.2114,-0.1685,-0.2088,-0.23199999999999998,-0.1844,-0.2408
200804,-0.0694,-0.0561,-0.0796,-0.0672,-0.1039,-0.0978,-0.0357,-0.0568,-0.0766,-0.0893,-0.0257,-0.0732,-0.0255,-0.0279,-0.0148,-0.003,-0.0276,-0.0258,-0.0414,-0.0508,-0.0276,0.0041,0.0174,0.0191,0.0314
200805,0.0119,0.0059,-0.0098,-0.0318,0.0118,-0.0425,-0.0645,-0.0095,-0.0128,-0.0308,0.005,-0.0292,-0.0048,-0.0129,-0.0193,-0.0461,-0.0213,-0.0558,-0.0556,-0.0723,-0.0927,-0.0805,-0.0791,-0.0358,-0.0182
200806,-0.2547,-0.2803,-0.2094,-0.2405,-0.2506,-0.2294,-0.2483,-0.2719,-0.2914,-0.2525,-0.2354,-0.2743,-0.2656,-0.2539,-0.2565,-0.2155,-0.2452,-0.2611,-0.2385,-0.2775,-0.2054,-0.2422,-0.2192,-0.2389,-0.2722
200807,0.1444,0.1389,0.1382,0.1085,0.1241,0.1024,0.1253,0.1172,0.1127,0.1125,0.0792,0.0813,0.0987,0.1137,0.0949,0.0667,0.0643,0.0772,0.0994,0.049,0.0297,0.0175,0.0133,0.0217,0.0173
200808,-0.2017,-0.2045,-0.1967,-0.1995,-0.2081,-0.2633,-0.2287,-0.2342,-0.2459,-0.2309,-0.2413,-0.2265,-0.1962,-0.2208,-0.223,-0.2547,-0.2405,-0.233,-0.2391,-0.2157,-0.2152,-0.2162,-0.2218,-0.1602,-0.1897
200809,-0.1124,-0.0807,-0.0712,-0.0805,-0.0894,-0.1029,-0.1065,-0.1047,-0.0907,-0.0634,-0.0911,-0.0703,-0.0766,-0.0892,-0.0633,-0.0687,-0.0737,-0.0421,-0.0897,-0.0173,-0.0489,-0.0578,-0.0176,0.0034,0.0608
200810,-0.2415,-0.2331,-0.2418,-0.2686,-0.2459,-0.2752,-0.2112,-0.2518,-0.2577,-0.2575,-0.2715,-0.2671,-0.2513,-0.2316,-0.2545,-0.2591,-0.2698,-0.2861,-0.2525,-0.2472,-0.2576,-0.2961,-0.2661,-0.2713,-0.2855
