Date,Pmonret_tmv,Sizeflg,BMflg
200801,-0.0534,1,1
200802,0.1078,1,1
200803,-0.1359,1,1
200804,-0.0694,1,1
200805,0.0119,1,1
200806,-0.2547,1,1
200807,0.1444,1,1
200808,-0.2017,1,1
200809,-0.1124,1,1
200810,-0.2415,1,1
200811,0.2395,1,1
200812,0.0331,1,1
200901,0.1251,1,1
200902,0.1599,1,1
200903,0.1636,1,1
200904,0.0496,1,1
200905,0.1138,1,1
200906,0.0991,1,1
200907,0.1144,1,1
200908,-0.1311,1,1
200909,0.0223,1,1
200910,0.1073,1,1
200911,0.1543,1,1
200912,0.0112,1,1
201001,-0.0165,1,1
201002,0.0856,1,1
201003,0.0312,1,1
201004,-0.0645,1,1
201005,-0.0879,1,1
201006,-0.1137,1,1
201007,0.168,1,1
201008,0.0901,1,1
201009,0.0001,1,1
201010,0.0409,1,1
201011,0.0119,1,1
201012,-0.0143,1,1
201101,-0.0342,1,1
201102,0.1021,1,1
201103,0.0363,1,1
201104,0.0161,1,1
201105,-0.0737,1,1
201106,0.0488,1,1
201107,0.0237,1,1
201108,-0.0186,1,1
201109,-0.1057,1,1
201110,0.0249,1,1
201111,-0.023,1,1
201112,-0.2151,1,1
201201,-0.0093,1,1
201202,0.1495,1,1
201203,-0.0699,1,1
201204,0.0911,1,1
201205,0.0306,1,1
201206,-0.0526,1,1
201207,-0.0867,1,1
201208,0.0164,1,1
201209,0.0281,1,1
201210,0.0113,1,1
201211,-0.0768,1,1
201212,0.1431,1,1
201301,0.0844,1,1
201302,0.0462,1,1
201303,-0.0201,1,1
201304,-0.0123,1,1
201305,0.0975,1,1
201306,-0.1822,1,1
201307,0.0845,1,1
201308,0.1388,1,1
201309,0.0607,1,1
201310,-0.0237,1,1
201311,0.0744,1,1
201312,-0.0645,1,1
201401,0.0371,1,1
201402,0.0586,1,1
201403,0.0058,1,1
201404,-0.0059,1,1
201405,0.0324,1,1
201406,0.0556,1,1
201407,0.102,1,1
201408,0.1275,1,1
201409,0.21,1,1
201410,0.015,1,1
201411,0.0538,1,1
201412,-0.113,1,1
201501,0.0987,1,1
201502,0.0867,1,1
201503,0.2498,1,1
201504,0.3088,1,1
201505,0.3235,1,1
201506,-0.1447,1,1
201507,-0.1697,1,1
201508,-0.0534,1,1
201509,-0.005,1,1
201510,0.2886,1,1
201511,0.1956,1,1
201512,0.1131,1,1
201601,-0.2954,1,1
201602,-0.0478,1,1
201603,0.1917,1,1
201604,0.0286,1,1
201605,-0.0678,1,1
201606,0.042,1,1
201607,-0.012,1,1
201608,0.0722,1,1
201609,0.0712,1,1
201610,0.0666,1,1
201611,0.039,1,1
201612,0.042,1,1
201701,-0.0548,1,1
201702,0.0312,1,1
201703,-0.0368,1,1
201704,-0.0593,1,1
201705,-0.1012,1,1
201706,0.0221,1,1
201707,-0.0242,1,1
201708,0.0466,1,1
201709,0.0119,1,1
201710,-0.0294,1,1
201711,-0.0903,1,1
201712,-0.036,1,1
201801,-0.0682,1,1
201802,-0.0726,1,1
201803,0.0757,1,1
201804,-0.0628,1,1
201805,-0.0191,1,1
201806,-0.135,1,1
201807,0.0289,1,1
201808,-0.0812,1,1
201809,0.0011,1,1
200801,-0.0657,1,2
200802,0.1198,1,2
200803,-0.1876,1,2
200804,-0.0561,1,2
200805,0.0059,1,2
200806,-0.2803,1,2
200807,0.1389,1,2
200808,-0.2045,1,2
200809,-0.0807,1,2
200810,-0.2331,1,2
200811,0.1882,1,2
200812,0.0866,1,2
200901,0.1705,1,2
200902,0.0935,1,2
200903,0.2646,1,2
200904,0.0487,1,2
200905,0.0783,1,2
200906,0.1004,1,2
200907,0.1408,1,2
200908,-0.1139,1,2
200909,0.017,1,2
200910,0.119,1,2
200911,0.1444,1,2
200912,0.0312,1,2
201001,0.005,1,2
201002,0.1199,1,2
201003,0.0643,1,2
201004,-0.0538,1,2
201005,-0.0795,1,2
201006,-0.1032,1,2
201007,0.1942,1,2
201008,0.1417,1,2
201009,0.0374,1,2
201010,0.0744,1,2
201011,0.0591,1,2
201012,-0.0157,1,2
201101,-0.0487,1,2
201102,0.1378,1,2
201103,0.0154,1,2
201104,-0.0135,1,2
201105,-0.0677,1,2
201106,0.0671,1,2
201107,0.0464,1,2
201108,-0.0252,1,2
201109,-0.1188,1,2
201110,0.0423,1,2
201111,-0.016,1,2
201112,-0.1517,1,2
201201,-0.0144,1,2
201202,0.1314,1,2
201203,-0.0723,1,2
201204,0.0587,1,2
201205,0.024,1,2
201206,-0.0722,1,2
201207,-0.1175,1,2
201208,0.0439,1,2
201209,0.005,1,2
201210,0.012,1,2
201211,-0.11,1,2
201212,0.1419,1,2
201301,0.0481,1,2
201302,0.0526,1,2
201303,-0.0328,1,2
201304,-0.0167,1,2
201305,0.1439,1,2
201306,-0.1723,1,2
201307,0.0927,1,2
201308,0.1465,1,2
201309,0.1078,1,2
201310,-0.0345,1,2
201311,0.0888,1,2
201312,-0.0083,1,2
201401,0.1047,1,2
201402,0.0543,1,2
201403,-0.0667,1,2
201404,-0.0106,1,2
201405,0.0327,1,2
201406,0.0882,1,2
201407,0.0774,1,2
201408,0.1079,1,2
201409,0.2063,1,2
201410,0.0187,1,2
201411,0.0538,1,2
201412,-0.1177,1,2
201501,0.0941,1,2
201502,0.0895,1,2
201503,0.2799,1,2
201504,0.1296,1,2
201505,0.2942,1,2
201506,-0.1572,1,2
201507,-0.193,1,2
201508,-0.1089,1,2
201509,-0.0526,1,2
201510,0.2657,1,2
201511,0.201,1,2
201512,0.1445,1,2
201601,-0.309,1,2
201602,0.0068,1,2
201603,0.2542,1,2
201604,0.0239,1,2
201605,-0.0354,1,2
201606,0.068,1,2
201607,-0.0005,1,2
201608,0.071,1,2
201609,0.0429,1,2
201610,0.0619,1,2
201611,0.054,1,2
201612,-0.014,1,2
201701,-0.0305,1,2
201702,0.0372,1,2
201703,-0.0439,1,2
201704,-0.0908,1,2
201705,-0.0722,1,2
201706,0.0475,1,2
201707,-0.0252,1,2
201708,0.0312,1,2
201709,0.0327,1,2
201710,-0.0334,1,2
201711,-0.0762,1,2
201712,-0.0315,1,2
201801,-0.052,1,2
201802,-0.068,1,2
201803,0.0937,1,2
201804,-0.032,1,2
201805,-0.0462,1,2
201806,-0.1134,1,2
201807,0.0176,1,2
201808,-0.0813,1,2
201809,0.0065,1,2
200801,-0.0611,1,3
200802,0.1271,1,3
200803,-0.1656,1,3
200804,-0.0796,1,3
200805,-0.0098,1,3
200806,-0.2094,1,3
200807,0.1382,1,3
200808,-0.1967,1,3
200809,-0.0712,1,3
200810,-0.2418,1,3
200811,0.215,1,3
200812,0.0702,1,3
200901,0.1735,1,3
200902,0.0724,1,3
200903,0.2281,1,3
200904,0.0972,1,3
200905,0.0465,1,3
200906,0.0407,1,3
200907,0.1245,1,3
200908,-0.1494,1,3
200909,0.0368,1,3
200910,0.1244,1,3
200911,0.1207,1,3
200912,0.0537,1,3
201001,0.0037,1,3
201002,0.0558,1,3
201003,0.0798,1,3
201004,-0.0826,1,3
201005,-0.054,1,3
201006,-0.0751,1,3
201007,0.1853,1,3
201008,0.122,1,3
201009,0.0263,1,3
