,Mkt-RF,SMB,HML,RMW,CMA,RF,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
198501,7.99,3.46,-5.43,-0.96,-3.36,0.65,16.0884,14.4286,10.6003,10.1315,8.487,16.172,13.0591,8.9758,9.9612,8.7143,13.7649,10.28,9.7521,8.8259,7.9383,12.2224,12.8652,8.4275,8.1526,6.4025,9.537,7.9573,7.6769,6.8028,4.2824
198502,1.22,0.99,-0.12,1.26,1.03,0.58,3.6669,5.0399,3.4263,2.7473,3.7328,2.7987,3.1484,2.6773,1.9129,0.9396,2.1387,0.9234,1.4533,1.6676,-0.6134,2.7195,-1.0891,2.0029,2.5273,1.1719,0.1852,2.6773,1.6665,2.5326,2.7163
198503,-0.84,-1.47,4.1,1.02,2.94,0.62,-2.6289,-2.9806,-1.5316,-1.2538,-0.2578,-4.8363,-3.5133,-0.7027,0.36,3.0903,-4.323,-1.2376,-2.0347,1.1107,3.7345,-2.7065,-2.3915,0.1037,0.9582,4.3029,-1.5582,1.0404,-0.5861,1.2452,1.5492
198504,-0.96,-0.11,3.73,1.49,0.71,0.72,-2.216,-1.7956,0.1944,0.3781,0.275,-3.2422,-1.2878,-0.3489,2.6702,0.7462,-1.2309,-1.2978,-0.3957,2.6119,1.5041,-1.2818,-3.2954,0.5168,0.797,1.0626,-1.6826,-2.4059,-1.3912,1.3393,3.0329
198505,5.09,-2.35,-0.86,1.11,-1.39,0.66,2.5198,3.9416,3.7879,2.6925,1.1057,4.0918,4.1323,3.1228,5.5959,2.9322,6.228,5.5094,3.1084,4.7972,4.1974,6.7231,5.7266,5.6414,4.4441,6.4995,5.6998,7.5155,8.8874,5.3875,4.5905
198506,1.27,0.43,0.63,1.5,-0.59,0.55,0.5881,0.538,0.804,1.3814,4.5579,0.7399,2.2989,2.4047,3.1309,3.4848,2.5562,1.852,4.3175,2.6316,3.3625,1.9859,1.7711,2.2635,3.5638,0.8992,0.6719,2.8834,1.4547,0.2995,2.3283
198507,-0.74,2.89,-1.63,-0.37,-0.31,0.62,2.4006,3.2525,2.2769,1.5607,2.3026,3.1927,3.5073,5.0743,-0.1544,0.3738,1.2257,2.6074,1.437,0.9764,1.9565,-0.4795,0.3965,1.1463,-2.1051,0.7065,0.5547,-0.3619,-1.9597,-1.5005,-2.3639
198508,-1.02,-0.31,2.28,0.33,1.88,0.55,-1.5995,-1.1817,-0.5983,0.2212,-1.1067,-2.0296,-0.9552,0.7729,0.3242,0.2396,-2.4717,-0.5898,-0.2074,-0.4482,0.2812,-1.7152,-0.3173,1.1073,-0.2656,0.2569,-1.8147,0.0228,-0.5222,0.3951,0.7948
198509,-4.54,-1.8,1.32,1.46,1.61,0.6,-8.055,-5.7923,-4.9014,-3.8918,-4.0583,-7.5437,-6.1727,-3.3011,-3.6955,-5.5082,-6.8667,-4.2804,-3.2572,-3.7994,-2.9489,-4.9829,-4.0696,-4.7743,-6.3535,-4.9012,-3.6497,-2.4481,-1.8156,-3.2714,-4.0215
198510,4.02,-1.52,0.78,0.97,-1.11,0.65,0.6764,1.7523,3.6724,3.3466,1.7603,3.8239,3.8564,4.1106,5.7105,2.8155,3.9454,4.2287,4.3877,2.4062,2.8251,5.672,5.2772,4.2489,5.5031,5.58,3.6335,4.4145,4.8369,5.883,6.3014
198511,6.48,-0.01,-2.87,0.5,-2.33,0.61,5.4692,6.5269,6.361,5.0391,4.9109,9.2899,7.1632,8.1759,7.1405,6.4363,7.7578,7.2169,5.8437,6.5562,6.5065,8.6016,6.9591,8.2871,5.4985,5.4804,10.0728,8.1687,7.6443,3.9433,4.6884
198512,3.88,-0.43,-1.53,0.94,-1.8,0.65,3.6755,5.0847,4.0372,4.0646,3.3939,5.213,4.488,5.0729,3.9406,0.3317,5.6766,4.638,2.4761,2.6619,5.4051,3.7393,4.441,2.8272,4.97,5.1781,6.8785,3.7452,4.9904,3.0815,4.3461
